Date,Nom de l'entraînement,Durée,Nom de l'exercice,Ordre de la série,Poids,Réps,Distance,Secondes,RPE
2026-04-12 15:23:34,"Entraînement du midi",34min,"Seated Row (Cable)",5,45.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",3,45.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",4,41.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",5,36.0,101.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Lat Pulldown (Cable)",1,18.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Lat Pulldown (Cable)",2,23.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Lat Pulldown (Cable)",3,29.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Lat Pulldown (Cable)",4,36.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Lat Pulldown (Cable)",5,23.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Triceps Extension",1,6.8,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Triceps Extension",2,9.1,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Triceps Extension",3,11.3,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Triceps Extension",4,13.6,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Triceps Extension",5,11.3,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Pec Deck (Machine)",1,41.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Pec Deck (Machine)",3,54.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Pec Deck (Machine)",4,63.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Pec Deck (Machine)",5,72.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Seated Row (Cable)",1,27.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Seated Row (Cable)",2,32.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Seated Row (Cable)",3,36.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Seated Row (Cable)",4,41.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Seated Row (Cable)",5,32.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Chest Press (Machine)",3,45.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Chest Press (Machine)",4,41.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Chest Press (Machine)",5,36.0,101.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Lat Pulldown (Cable)",1,18.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Lat Pulldown (Cable)",2,23.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Lat Pulldown (Cable)",3,29.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Lat Pulldown (Cable)",4,36.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Lat Pulldown (Cable)",5,23.0,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Triceps Extension",1,6.8,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Triceps Extension",2,9.1,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Triceps Extension",3,11.3,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Triceps Extension",4,13.6,10.0,0,0.0,
2026-04-14 21:10:43,"Entraînement du midi",26min,"Triceps Extension",5,16.9,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Pec Deck (Machine)",1,41.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Pec Deck (Machine)",3,54.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Pec Deck (Machine)",4,63.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Pec Deck (Machine)",5,72.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Seated Row (Cable)",1,27.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Seated Row (Cable)",2,32.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Seated Row (Cable)",3,36.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Seated Row (Cable)",4,41.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Seated Row (Cable)",5,45.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Chest Press (Machine)",3,41.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Chest Press (Machine)",4,36.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Chest Press (Machine)",5,32.0,101.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Lat Pulldown (Cable)",1,18.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Lat Pulldown (Cable)",2,23.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Lat Pulldown (Cable)",3,29.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Lat Pulldown (Cable)",4,36.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Lat Pulldown (Cable)",5,29.0,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Triceps Extension",1,6.8,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Triceps Extension",2,10.2,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Triceps Extension",3,12.5,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Triceps Extension",4,14.7,10.0,0,0.0,
2026-04-17 11:08:32,"Entraînement du midi",23min,"Triceps Extension",5,17.0,6.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Pec Deck (Machine)",1,41.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Pec Deck (Machine)",3,54.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Pec Deck (Machine)",4,63.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Pec Deck (Machine)",5,72.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Seated Row (Cable)",1,27.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Seated Row (Cable)",2,32.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Seated Row (Cable)",3,36.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Seated Row (Cable)",4,41.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Seated Row (Cable)",5,45.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Chest Press (Machine)",3,45.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Chest Press (Machine)",4,41.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Chest Press (Machine)",5,36.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Lat Pulldown (Cable)",1,18.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Lat Pulldown (Cable)",2,23.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Lat Pulldown (Cable)",3,29.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Lat Pulldown (Cable)",4,36.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Lat Pulldown (Cable)",5,23.0,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Triceps Extension",1,7.5,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Triceps Extension",2,10.2,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Triceps Extension",3,12.5,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Triceps Extension",4,14.7,10.0,0,0.0,
2026-04-19 09:14:51,"Entraînement du midi",26min,"Triceps Extension",5,17.0,6.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Pec Deck (Machine)",1,36.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Pec Deck (Machine)",3,63.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Pec Deck (Machine)",4,81.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Pec Deck (Machine)",5,54.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Shoulder Press (Machine)",1,14.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Shoulder Press (Machine)",2,18.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Shoulder Press (Machine)",3,23.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Shoulder Press (Machine)",4,18.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Shoulder Press (Machine)",5,14.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Triceps Extension",1,6.8,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Triceps Extension",2,9.1,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Triceps Extension",3,11.3,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Triceps Extension",4,13.6,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Triceps Extension",5,15.9,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Chest Press (Machine)",3,45.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Chest Press (Machine)",4,41.0,10.0,0,0.0,
2026-04-20 12:10:17,"Entraînement du midi",17min,"Chest Press (Machine)",5,32.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Pec Deck (Machine)",1,45.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Pec Deck (Machine)",2,54.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Pec Deck (Machine)",3,63.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Pec Deck (Machine)",4,72.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Pec Deck (Machine)",5,74.3,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Seated Row (Cable)",1,27.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Seated Row (Cable)",2,32.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Seated Row (Cable)",3,36.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Seated Row (Cable)",4,41.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Seated Row (Cable)",5,45.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-22 19:52:15,"Entraînement du midi",33min,"Chest Press (Machine)",3,45.0,10.0,0,0.0,
